Week,Weekly Sales,Isolation Label,Isolation Score,Isolation Anomaly,Isolation Type,Rolling Mean,Rolling Std,Rolling Z Score,ZScore Anomaly,ZScore Type,Both Methods,Detection Result,Possible Explanation
2015-01-04,304.508,-1,-0.03203105315285992,True,Unusually Low,,,,False,Normal,False,Isolation Forest Only,The low sales may reflect the weaker post-holiday demand observed during the beginning of the year.
2015-02-08,968.534,-1,-0.03833289281457397,True,Unusually Low,,,,False,Normal,False,Isolation Forest Only,The low sales may reflect the weaker post-holiday demand observed during the beginning of the year.
2015-02-22,224.912,-1,-0.06646558749200471,True,Unusually Low,,,,False,Normal,False,Isolation Forest Only,The low sales may reflect the weaker post-holiday demand observed during the beginning of the year.
2015-03-22,37703.665,-1,-0.19594035493937012,True,Unusually High,2505.616375,1363.9329695322735,25.806289173485034,True,Unusually High,True,Both Methods,"The spike may be connected to seasonal purchasing, bulk orders or a temporary promotional campaign."
2015-06-21,11139.4446,1,0.12818696724382272,False,Normal,6369.212125000001,1623.6223906153598,2.9380184102980134,True,Unusually High,False,Z-Score Only,"The unusually high sales may have resulted from bulk orders, a major promotion or an unrecorded external event."
2015-07-19,1387.686,-1,-0.005288553478597358,True,Unusually Low,6968.859700000001,2447.5441711017593,-2.2803158226507683,True,Unusually Low,True,Both Methods,"The unusually low sales may have been caused by reduced demand, stock shortages, delayed order recording or operational disruption."
2015-07-26,21590.079999999998,1,0.0697923038861934,False,Normal,6362.072450000001,3153.4319793493028,4.829026803090337,True,Unusually High,False,Z-Score Only,"The unusually high sales may have resulted from bulk orders, a major promotion or an unrecorded external event."
2015-09-13,29959.137,-1,-0.046252367839549335,True,Unusually High,7047.3355624999995,6902.804660115425,3.3192017687947843,True,Unusually High,True,Both Methods,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
2015-11-22,26793.6235,1,0.007747266559679167,False,Normal,11624.142624999999,4978.15131623868,3.0472116879045656,True,Unusually High,False,Z-Score Only,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
2016-01-10,1973.444,1,0.07024595666944766,False,Normal,16275.293225,6069.142436464183,-2.35648600683231,True,Unusually Low,False,Z-Score Only,The low sales may reflect the weaker post-holiday demand observed during the beginning of the year.
2016-01-24,358.522,-1,-0.044604355573053533,True,Unusually Low,11496.4368875,7363.922375212524,-1.5124975957094549,False,Normal,False,Isolation Forest Only,The low sales may reflect the weaker post-holiday demand observed during the beginning of the year.
2016-03-20,13310.136,1,0.1173095341234705,False,Normal,4258.29405,3122.5653603179553,2.8988478720196578,True,Unusually High,False,Z-Score Only,"The spike may be connected to seasonal purchasing, bulk orders or a temporary promotional campaign."
2016-07-17,10366.159,1,0.15712029082834744,False,Normal,5896.888625,1937.5202515614867,2.3066960829948098,True,Unusually High,False,Z-Score Only,"The unusually high sales may have resulted from bulk orders, a major promotion or an unrecorded external event."
2016-08-28,15773.478,1,0.1270492368297691,False,Normal,6045.488525,2388.4634738996824,4.072906946789919,True,Unusually High,False,Z-Score Only,"The unusually high sales may have resulted from bulk orders, a major promotion or an unrecorded external event."
2016-09-18,24095.96,1,0.006952622398192165,False,Normal,7733.872275,3687.9426335589997,4.4366437742579485,True,Unusually High,False,Z-Score Only,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
2016-11-13,27965.3492,1,0.005330022723110783,False,Normal,11608.6894375,7053.270033020896,2.319017942872448,True,Unusually High,False,Z-Score Only,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
2017-01-15,2174.507,1,0.08969695351277573,False,Normal,14414.4251875,5527.079390608618,-2.2145363441490558,True,Unusually Low,False,Z-Score Only,The low sales may reflect the weaker post-holiday demand observed during the beginning of the year.
2017-05-28,23367.662,1,0.06514245789220996,False,Normal,8238.229,3838.289160228048,3.94171266635396,True,Unusually High,False,Z-Score Only,"The unusually high sales may have resulted from bulk orders, a major promotion or an unrecorded external event."
2017-08-27,14460.025,1,0.12178395382723817,False,Normal,7111.0249375,2497.3663373502413,2.9427000566915003,True,Unusually High,False,Z-Score Only,"The unusually high sales may have resulted from bulk orders, a major promotion or an unrecorded external event."
2017-09-03,17558.9918,1,0.09087184696932404,False,Normal,7966.3463125,3616.561205018941,2.6524217187829287,True,Unusually High,False,Z-Score Only,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
2017-10-08,28412.098,1,0.0004133218499410285,False,Normal,12205.700649999999,4909.85307910422,3.3007906935082434,True,Unusually High,False,Z-Score Only,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
2017-12-17,25449.8,-1,-0.00027554789996064866,True,Unusually High,17287.238100000002,6676.486527430453,1.2225834451195219,False,Normal,False,Isolation Forest Only,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
2018-01-07,9060.984,1,0.1170698996960956,False,Normal,20299.21625,4923.515556798923,-2.2825625552215496,True,Unusually Low,False,Z-Score Only,The low sales may reflect the weaker post-holiday demand observed during the beginning of the year.
2018-03-25,26029.904,1,0.030561882603282076,False,Normal,6591.081675,1720.20980806502,11.30026246441751,True,Unusually High,False,Z-Score Only,"The spike may be connected to seasonal purchasing, bulk orders or a temporary promotional campaign."
2018-08-19,22222.554,1,0.06252438752384182,False,Normal,10252.2694625,3654.778170155184,3.2752424306484613,True,Unusually High,False,Z-Score Only,"The unusually high sales may have resulted from bulk orders, a major promotion or an unrecorded external event."
2018-11-04,29017.467,-1,-0.019003114100925367,True,Unusually High,18636.28215,4619.2486325084565,2.247375206638868,True,Unusually High,True,Both Methods,"The high sales may be related to year-end seasonal demand, promotions or holiday purchasing."
